# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.5128075423885292,2.102992748598513,3.1552394461480455,-48.54537801400154,0.8319508848871947,0.14943108304378594,4.334368971447284,0.0,206.31701486383793,0.0
 1.5202937170837014,2.107245744852412,3.1506785299412736,-47.000852798144415,0.834101451781117,0.28727180188691476,4.312047145343676,0.0,205.83344830297042,0.0
 1.5278026624934755,2.1116475922501117,3.146206168390801,-45.45526067133185,0.8372947500458637,0.42526587829365387,4.279219051959146,0.0,205.0961531429267,0.0
 1.5353309530281296,2.1162001587185593,3.1418234157187266,-43.91123724293199,0.8415367557218993,0.5634752878503938,4.236186540228233,0.0,204.1091206761992,0.0
 1.5428751709646966,2.120905312184703,3.137531326147148,-42.37139355370968,0.8468324824717651,0.7019583466958534,4.183369621840821,0.0,202.87838953234294,0.0
 1.5504319250746874,2.1257649205754907,3.1333309538981657,-40.83829144978284,0.853185974422896,0.840769973278729,4.121296306163094,0.0,201.41193376491157,0.0
 1.557997868697034,2.1307808518178692,3.1292233531938773,-39.314420114049724,0.8606003110695952,0.9799619210484823,4.050589730188484,0.0,199.71951114041076,0.0
 1.5655697169508898,2.1359549738387873,3.1252095782563822,-37.80217428236027,0.8690776237248591,1.1195830094649546,3.9719531593027577,0.0,197.81247736666165,0.0
 1.573144262815548,2.1412891545651918,3.1212906833077794,-36.3038345999448,0.8786191224639258,1.259679314054444,3.886153514297184,0.0,195.70357329162925,0.0
 1.580718391845241,2.1467852619240313,3.117467722570167,-34.82155048426204,0.8892251326393604,1.4002943617485006,3.7940041092259684,0.0,193.4066927064109,0.0
 1.5882890953325297,2.152445163842252,3.113741750265644,-33.35732576132464,0.9008951396245459,1.5414692973750121,3.696347276254354,0.0,190.93663877340663,0.0
 1.5958534817836942,2.1582707282468028,3.1101138206163093,-31.913007237956183,0.9136278405174325,1.6832430462256986,3.5940375019831667,0.0,188.30887690712547,0.0
 1.6034087866197744,2.164263823064631,3.1065849878442617,-30.49027626958296,0.9274212013590797,1.825652457565628,3.4879256193590944,0.0,185.53929146674182,0.0
 1.610952380065969,2.1704263162226844,3.1031563061716003,-29.090643286462832,0.9422725185139991,1.9687324430787012,3.3788444947451852,0.0,182.6439527589846,0.0
 1.6184817732375734,2.1767600756479117,3.0998288298204235,-27.71544515572452,0.9581784828430836,2.112516104096004,3.2675965342956252,0.0,179.6388998231623,0.0
 1.6259946224716286,2.1832669692672586,3.0966036130128303,-26.36584518478155,0.9751352453373797,2.257034843376359,3.1549432154012362,0.0,176.53994330001927,0.0
